epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
26,3535.14,1.35679,1.38819,1.18522,0.64412,0.40576,0.43043,0.2932,1.24653,1.46434,1.14187,0.00101,0.00101,0.00101
27,3666.41,1.43168,1.46667,1.17999,0.63449,0.39712,0.43645,0.29707,1.22229,1.42539,1.14607,0.0009704,0.0009704,0.0009704
28,3800.22,1.41298,1.39277,1.18741,0.6057,0.41295,0.43322,0.29581,1.20901,1.51805,1.1395,0.0009308,0.0009308,0.0009308
29,3932.43,1.35858,1.36906,1.16278,0.59877,0.41227,0.43963,0.29247,1.21627,1.44841,1.1488,0.0008912,0.0008912,0.0008912
30,4063.65,1.36625,1.35473,1.14566,0.65044,0.3741,0.42395,0.28444,1.2198,1.43744,1.15375,0.0008516,0.0008516,0.0008516
31,4197.22,1.34765,1.36015,1.15716,0.59743,0.40719,0.44101,0.3049,1.19591,1.35989,1.1358,0.000812,0.000812,0.000812
32,4330.09,1.39542,1.3837,1.18399,0.67629,0.39137,0.44534,0.30103,1.17845,1.44579,1.12332,0.0007724,0.0007724,0.0007724
33,4461.82,1.35281,1.33862,1.16212,0.65897,0.41295,0.46572,0.30958,1.20658,1.37883,1.1319,0.0007328,0.0007328,0.0007328
34,4594.54,1.33362,1.32288,1.1507,0.63481,0.39568,0.46355,0.31716,1.16092,1.38967,1.12935,0.0006932,0.0006932,0.0006932
35,4726.6,1.33682,1.31011,1.15719,0.6776,0.39281,0.45216,0.31389,1.16046,1.32813,1.12358,0.0006536,0.0006536,0.0006536
36,4857.92,1.31626,1.2988,1.1511,0.60865,0.43453,0.47125,0.31911,1.18749,1.34724,1.12294,0.000614,0.000614,0.000614
37,4989.28,1.29838,1.24957,1.14998,0.61974,0.42734,0.47092,0.32173,1.17147,1.33871,1.11926,0.0005744,0.0005744,0.0005744
38,5120.65,1.33592,1.32651,1.16217,0.62169,0.43165,0.4651,0.31579,1.15107,1.38117,1.11851,0.0005348,0.0005348,0.0005348
39,5251.93,1.27232,1.24648,1.13725,0.66864,0.41151,0.4654,0.3193,1.14845,1.30493,1.11426,0.0004952,0.0004952,0.0004952
40,5383.36,1.25247,1.22042,1.11288,0.66149,0.42457,0.47456,0.32522,1.12834,1.29127,1.10548,0.0004556,0.0004556,0.0004556
41,5536.83,1.18877,1.26355,1.12926,0.6599,0.41871,0.46485,0.31977,1.15615,1.30603,1.11052,0.000416,0.000416,0.000416
42,5668.05,1.14944,1.22264,1.1095,0.66252,0.40957,0.46218,0.32125,1.1408,1.33136,1.10425,0.0003764,0.0003764,0.0003764
43,5799.39,1.15707,1.17671,1.09236,0.64274,0.42878,0.47312,0.32608,1.1757,1.3121,1.1197,0.0003368,0.0003368,0.0003368
44,5930.62,1.13314,1.15561,1.10481,0.65016,0.42446,0.46832,0.32959,1.14658,1.3004,1.0985,0.0002972,0.0002972,0.0002972
45,6061.99,1.12786,1.14123,1.10489,0.65675,0.42734,0.47438,0.32606,1.14738,1.27668,1.10124,0.0002576,0.0002576,0.0002576
46,6193.57,1.11177,1.13595,1.08007,0.65655,0.44009,0.48401,0.33623,1.1236,1.26578,1.09028,0.000218,0.000218,0.000218
47,6324.99,1.10685,1.09094,1.07515,0.66984,0.43741,0.48569,0.33649,1.12183,1.26029,1.10103,0.0001784,0.0001784,0.0001784
48,6456.52,1.08537,1.08829,1.07068,0.678,0.42878,0.48401,0.33793,1.11547,1.26293,1.10318,0.0001388,0.0001388,0.0001388
49,6588.04,1.09274,1.09366,1.07638,0.69061,0.42878,0.48445,0.33814,1.11692,1.26551,1.09987,9.92e-05,9.92e-05,9.92e-05
50,6719.45,1.08211,1.04021,1.07372,0.68856,0.42734,0.48684,0.34071,1.10819,1.2449,1.09826,5.96e-05,5.96e-05,5.96e-05
