epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
20,5901.01,1.36873,1.67281,1.31366,0.55897,0.38273,0.40534,0.27616,1.25049,1.79979,1.25644,0.0014984,0.0014984,0.0014984
21,6193.39,1.33312,1.66543,1.31279,0.58382,0.3741,0.4071,0.26787,1.27829,1.69838,1.26119,0.001472,0.001472,0.001472
22,6485.39,1.33937,1.68589,1.32725,0.61275,0.36115,0.40415,0.27448,1.27629,1.68831,1.25978,0.0014456,0.0014456,0.0014456
23,293.236,1.35986,1.64582,1.31295,0.58853,0.37455,0.4179,0.28079,1.27218,1.67174,1.27013,0.0014192,0.0014192,0.0014192
24,588.276,1.29809,1.58659,1.28065,0.56931,0.38229,0.416,0.28414,1.25074,1.59914,1.25783,0.0013928,0.0013928,0.0013928
25,883.01,1.26439,1.52725,1.25531,0.54781,0.41295,0.41904,0.27923,1.25516,1.63714,1.25545,0.0013664,0.0013664,0.0013664
26,1179.21,1.28932,1.57057,1.25913,0.53683,0.40358,0.41308,0.27048,1.29516,1.62974,1.28282,0.00134,0.00134,0.00134
27,1474.69,1.24144,1.50879,1.2468,0.66782,0.34388,0.42125,0.28737,1.27239,1.59653,1.24718,0.0013136,0.0013136,0.0013136
28,1769.08,1.23853,1.49152,1.23905,0.57209,0.40432,0.43366,0.29315,1.24797,1.55482,1.23665,0.0012872,0.0012872,0.0012872
29,2061.32,1.25294,1.48189,1.23689,0.60841,0.39712,0.43019,0.29365,1.21313,1.65566,1.21602,0.0012608,0.0012608,0.0012608
30,2352.67,1.21579,1.46508,1.23909,0.61158,0.40576,0.43553,0.28827,1.22841,1.55698,1.24025,0.0012344,0.0012344,0.0012344
31,2643.16,1.2358,1.51699,1.25501,0.66709,0.35683,0.43206,0.29943,1.20491,1.55048,1.21902,0.001208,0.001208,0.001208
32,2933.82,1.23078,1.45691,1.22315,0.6359,0.39568,0.44363,0.3073,1.22063,1.50731,1.20891,0.0011816,0.0011816,0.0011816
33,3224.92,1.23918,1.48478,1.24117,0.57385,0.41439,0.44425,0.3042,1.20581,1.57587,1.21905,0.0011552,0.0011552,0.0011552
34,3515.9,1.19059,1.41149,1.21292,0.64717,0.36115,0.41103,0.28518,1.21081,1.53899,1.25216,0.0011288,0.0011288,0.0011288
35,3806.91,1.18314,1.40945,1.20985,0.60805,0.4,0.43754,0.29873,1.21965,1.49521,1.23655,0.0011024,0.0011024,0.0011024
36,4097.3,1.18,1.37288,1.20116,0.62173,0.39257,0.4484,0.30671,1.21808,1.51427,1.22933,0.001076,0.001076,0.001076
37,4387.17,1.18087,1.39935,1.19255,0.67978,0.39096,0.45511,0.31617,1.18329,1.4876,1.22151,0.0010496,0.0010496,0.0010496
38,4677.07,1.16579,1.36752,1.21953,0.63483,0.38849,0.44286,0.31116,1.20652,1.49559,1.21407,0.0010232,0.0010232,0.0010232
39,4967.44,1.17076,1.36786,1.19689,0.52574,0.42734,0.43569,0.30542,1.1903,1.61584,1.22017,0.0009968,0.0009968,0.0009968
40,5258.67,1.12221,1.32034,1.17632,0.6746,0.39137,0.44986,0.31254,1.18224,1.52575,1.21315,0.0009704,0.0009704,0.0009704
41,5549.87,1.12936,1.31376,1.20162,0.58513,0.42446,0.43736,0.30432,1.20002,1.67961,1.21609,0.000944,0.000944,0.000944
42,5840.9,1.15842,1.32181,1.18613,0.63743,0.4275,0.46939,0.31835,1.18338,1.51149,1.19759,0.0009176,0.0009176,0.0009176
43,6131.83,1.13101,1.31328,1.19368,0.70554,0.38993,0.45282,0.3112,1.21673,1.49367,1.23353,0.0008912,0.0008912,0.0008912
44,6422.97,1.12542,1.31534,1.18766,0.65596,0.39281,0.45392,0.31695,1.18616,1.49545,1.22139,0.0008648,0.0008648,0.0008648
45,6714.01,1.13384,1.31061,1.17572,0.64384,0.40719,0.46429,0.32732,1.19271,1.43657,1.21876,0.0008384,0.0008384,0.0008384
46,7004.41,1.14141,1.28813,1.19944,0.65605,0.40288,0.46446,0.32372,1.14943,1.455,1.19407,0.000812,0.000812,0.000812
47,7294.45,1.15412,1.32833,1.18564,0.63653,0.42014,0.45743,0.31534,1.21043,1.50535,1.22694,0.0007856,0.0007856,0.0007856
48,7584.82,1.11445,1.30301,1.16821,0.65348,0.41583,0.47513,0.32181,1.16972,1.49592,1.20369,0.0007592,0.0007592,0.0007592
49,7875.36,1.12176,1.29022,1.16941,0.60721,0.44892,0.47925,0.3311,1.15602,1.41416,1.19527,0.0007328,0.0007328,0.0007328
50,8165.91,1.13244,1.222,1.16134,0.65717,0.41007,0.46966,0.33,1.14487,1.43895,1.17768,0.0007064,0.0007064,0.0007064
51,8456.38,1.08781,1.23658,1.14758,0.6353,0.41727,0.46635,0.32386,1.15223,1.48638,1.19029,0.00068,0.00068,0.00068
52,8747.21,1.10002,1.24218,1.15599,0.65753,0.40576,0.47139,0.33185,1.1406,1.40172,1.17947,0.0006536,0.0006536,0.0006536
53,9037.43,1.06922,1.17815,1.13002,0.70739,0.40003,0.47052,0.32946,1.13434,1.39635,1.1962,0.0006272,0.0006272,0.0006272
54,9327.94,1.08251,1.18973,1.15144,0.69431,0.40524,0.4759,0.33293,1.16439,1.41252,1.20124,0.0006008,0.0006008,0.0006008
55,9618.23,1.0572,1.19099,1.13561,0.64141,0.41439,0.46014,0.3176,1.15184,1.44926,1.19929,0.0005744,0.0005744,0.0005744
56,9908.5,1.06357,1.16142,1.14154,0.70035,0.38417,0.46104,0.32297,1.14484,1.4523,1.19437,0.000548,0.000548,0.000548
57,10198.7,1.08522,1.17091,1.13477,0.62933,0.39712,0.4648,0.31905,1.15242,1.43692,1.20467,0.0005216,0.0005216,0.0005216
58,10488.7,1.05101,1.16484,1.11835,0.6149,0.45036,0.4754,0.33233,1.14233,1.44897,1.19038,0.0004952,0.0004952,0.0004952
59,10778.7,1.08365,1.17755,1.13078,0.63258,0.43022,0.47495,0.32707,1.1337,1.43322,1.18312,0.0004688,0.0004688,0.0004688
60,11069.7,1.04243,1.12807,1.12003,0.63413,0.44173,0.48301,0.34318,1.10493,1.3775,1.17523,0.0004424,0.0004424,0.0004424
61,11360.8,1.00194,1.08557,1.11052,0.6872,0.41409,0.46875,0.3365,1.09624,1.41631,1.17457,0.000416,0.000416,0.000416
62,11665.4,1.01342,1.07578,1.11508,0.7035,0.40625,0.47456,0.33865,1.09718,1.37693,1.17444,0.0003896,0.0003896,0.0003896
63,12011.6,1.03038,1.10464,1.11185,0.62551,0.44317,0.47518,0.33432,1.12621,1.39392,1.19188,0.0003632,0.0003632,0.0003632
64,12312,1.02522,1.07039,1.10365,0.76579,0.39137,0.47815,0.33964,1.10888,1.42153,1.17057,0.0003368,0.0003368,0.0003368
65,12610.1,1.01017,1.07857,1.09908,0.63735,0.43165,0.48322,0.34123,1.11609,1.42116,1.17294,0.0003104,0.0003104,0.0003104
66,12975.2,0.96131,1.01741,1.0626,0.64081,0.42878,0.47292,0.33585,1.12677,1.396,1.18481,0.000284,0.000284,0.000284
67,13272.3,0.92905,0.98655,1.05508,0.66505,0.42302,0.47725,0.33819,1.11949,1.37849,1.18849,0.0002576,0.0002576,0.0002576
68,13566.4,0.93833,1.00804,1.06086,0.66732,0.42715,0.48488,0.34166,1.11133,1.37403,1.18338,0.0002312,0.0002312,0.0002312
69,13861.2,0.94002,0.97004,1.05697,0.69033,0.42158,0.48209,0.3421,1.10994,1.38697,1.18785,0.0002048,0.0002048,0.0002048
70,14152.9,0.92219,0.96719,1.05537,0.71575,0.40288,0.47681,0.33759,1.10629,1.3822,1.18168,0.0001784,0.0001784,0.0001784
71,14445,0.92006,0.94185,1.04589,0.73031,0.39424,0.47579,0.3365,1.10671,1.41207,1.17695,0.000152,0.000152,0.000152
72,14736.9,0.91253,0.94085,1.04377,0.74255,0.39712,0.47925,0.33926,1.10765,1.39636,1.18028,0.0001256,0.0001256,0.0001256
73,15029,0.90789,0.91046,1.03477,0.70607,0.41727,0.48078,0.33936,1.11478,1.40139,1.18695,9.92e-05,9.92e-05,9.92e-05
74,15320.5,0.91182,0.90894,1.04406,0.71615,0.41583,0.48242,0.33879,1.1084,1.40521,1.18199,7.28e-05,7.28e-05,7.28e-05
75,15612.6,0.88361,0.90306,1.02804,0.71495,0.42302,0.4866,0.34478,1.10159,1.39151,1.18216,4.64e-05,4.64e-05,4.64e-05
